Gene	sgRNA	Day14|beta	Day14|z	Day14|p-value	Day14|fdr	Day14|wald-p-value	Day14|wald-fdr	Mouse|beta	Mouse|z	Mouse|p-value	Mouse|fdr	Mouse|wald-p-value	Mouse|wald-fdr
NRBP2	10	-0.55234	-3.0168	0.0018832	0.0054945	0.0025542	0.0086942	-0.67804	-3.7026	0.0018832	0.0087719	0.00021342	0.0013491
ZNF205	10	-0.69634	-4.0703	0.0018832	0.0054945	4.6947e-05	0.00033238	-0.71919	-4.2045	0	0	2.6171e-05	0.00019573
METTL2B	10	-1.1386	-5.5704	0	0	2.541e-08	5.8664e-07	-1.0764	-5.2688	0	0	1.3728e-07	2.5137e-06
MFSD3	10	-0.79874	-3.6463	0	0	0.00026601	0.0013079	-1.0002	-4.5639	0	0	5.0218e-06	4.9381e-05
PEX11A	10	-0.28151	-2.1117	0.018832	0.034722	0.034716	0.074631	-0.19844	-1.4885	0.079096	0.168	0.13661	0.29008
BTRC	10	-0.54866	-3.5721	0.0018832	0.0054945	0.00035415	0.0016352	-0.75547	-4.9156	0	0	8.8512e-07	1.1463e-05
MOCS2	10	-0.33364	-2.5285	0.007533	0.015564	0.011454	0.029347	-0.17006	-1.2889	0.10169	0.2	0.19745	0.36081
DDR1	10	-0.077802	-0.44017	0.34087	0.45137	0.65981	0.82052	0.3108	1.7637	0.36347	0.53297	0.077786	0.18775
CENPF	10	-0.9123	-3.9283	0	0	8.5545e-05	0.00053441	-0.58734	-2.5311	0.0018832	0.0087719	0.011371	0.037271
RPL14	10	-1.2698	-4.528	0	0	5.9558e-06	5.9671e-05	-1.1523	-4.1444	0	0	3.4076e-05	0.00024787
MSRB1	10	-0.71847	-3.4666	0.0018832	0.0054945	0.00052702	0.0022752	-0.78093	-3.7681	0	0	0.0001645	0.0010784
ADH5	9	-0.59768	-3.8242	0	0	0.00013121	0.00074118	-0.15595	-0.99998	0.11488	0.22101	0.31732	0.48257
BHMT	10	-0.20398	-1.5285	0.065913	0.10671	0.12639	0.2237	0.23592	1.7681	0.62335	0.76267	0.077039	0.18679
ACKR4	10	-0.21585	-1.5692	0.060264	0.098765	0.11661	0.20919	-0.16708	-1.2146	0.10923	0.21245	0.22451	0.39862
NUDT18	10	-0.3406	-1.7862	0.007533	0.015564	0.074063	0.14406	-0.44415	-2.3295	0.0056497	0.016667	0.019831	0.060518
SLC35D2	10	-0.57295	-3.3228	0.0018832	0.0054945	0.00089133	0.0035586	-0.54976	-3.1905	0.0037665	0.012579	0.00142	0.0063365
UVSSA	10	-0.54613	-3.6474	0.0018832	0.0054945	0.00026492	0.0013079	-0.56512	-3.774	0.0037665	0.012579	0.00016063	0.0010755
