"","Gene","logfc","CERES"
"1","GSG1L",-4.68857531198918,0
"2","ART5",-4.24032775367192,0
"3","WNT16",-4.0176201720024,-0.109243989449
"4","WIF1",-5.00093530768621,-0.293267749877
"5","SLC6A1",-4.22385713683516,0
"6","HDGFL1",-4.16697413391867,-0.17031836143
"7","CEP112",-2.33808025279133,0
"8","H3Y1",-4.26574172193528,0
"9","TTC29",-4.01941406363414,-0.0837613896541
"10","SVEP1",-3.53792715414648,-0.0276027143655
"11","ISM1",-3.6192757755679,0
"12","SMIM2",-3.6586019600911,0
"13","COX7A1",-4.14502097815076,0
"14","EDNRA",-3.66510741932273,0.306765032970018
"15","HEY2",-3.16450982390708,-0.208909776537
"16","TMEM132C",-4.9494997297745,0
"17","TNMD",-3.8999931326592,0
"18","SUGCT",-2.13161797049726,0
"19","SCN4B",-3.19846952359051,0.00812074004755
"20","IRS4",-4.14112374253502,-0.205943246838
"21","RASL11B",-2.87745833796389,-0.421085340605
"22","KRT18",4.40845072073506,-0.150853934483
"23","HOXD1",-3.11752084825426,-0.332083579276
"24","ATP1B2",-3.49838528120296,0
"25","KRT31",-3.83493619300482,0
"26","KRT8",5.23965594023674,0
"27","LTBR",5.45337594500852,0
"28","LGALS3BP",3.69705365441339,0
"29","S100A6",2.4140242861654,0
"30","LIX1",-4.25464583786224,0
"31","CACNA1G",-3.08904780400958,0.29399058925
"32","DKK2",-3.90660384067299,0
"33","ANXA1",3.21073642049592,0
"34","CASP4",5.29258571214703,0
"35","MID1IP1",4.90624800714915,0
"36","MGST2",5.26028792995103,0
"37","S100A16",5.38187963486598,0.041554430342
"38","FZD1",-1.82547713363788,0.0846504374948256
"39","ADAMTS8",-3.34039768036246,0
"40","TRIM43B",-3.41336494141768,0
"41","ALCAM",4.49752981629387,-0.103712608461
"42","MEOX2",-4.29705350027067,-0.291150001237
"43","CD55",4.40884756210112,0.0108425016282
"44","TRABD2B",-3.10129549472344,0
"45","ADGRE5",4.6084210910446,0.00338579871171
"46","NDNF",-3.25808222212897,0
"47","MGST1",4.83966092895635,0
"48","TRIM49D1",-3.34948351122416,0.0250387287311
"49","SYCE1",-3.5674581995514,0
"50","OSR1",-2.59667050117227,0
"51","IFIH1",-1.64312435244489,0.102952777746
"52","GSC",-2.99989642814023,-0.286047368396
"53","ZIC4",-3.21959143290214,0
"54","FZD6",4.9301409984374,0
"55","HHIP",-3.09566722488515,0
"56","F13A1",-3.80075515257954,-0.0473230851631
"57","SERPINB1",4.59468207876313,0.222238477106
"58","SIX1",-1.80695437007918,0.141509162627
"59","EN1",-3.26330539158681,-0.00398026393457
"60","FZD10",-3.9979446471452,-0.679002071865
"61","C1QTNF7",-3.25729050048163,-0.171871844824
"62","CAPG",3.61136856328237,0
"63","BMP5",-3.75814849740768,0
"64","ADAMTSL2",-3.56750769393738,0
"65","CTSZ",2.72423569534067,0
"66","RORA",-1.98434860070777,-0.151833308761
"67","TIMP1",2.46465599622698,0
"68","TRIM49",-3.19018755560856,0.040344435008
"69","TRIM43",-3.44686299111467,0
"70","MYMK",-4.09947539290849,0
"71","PLAAT3",3.9906736918739,0
"72","PERP",3.11955002564855,0
"73","GCGR",-3.09224267876482,0
"74","ADGRG1",4.41643971833599,0
"75","RFPL4AL1",-3.3378124005749,0
"76","SNX7",4.16691393594849,0
"77","SVIP",4.48598631552007,0
"78","SLC2A4",-2.54626662474762,-0.0681772087619
"79","OXR1",3.44068710912852,0
"80","PTPRK",3.85648888112966,0.0228419194239
"81","THEM4",4.81265814803805,-0.0702888083192
"82","IFT57",3.63703594193988,-0.0925397438314
"83","SP140L",4.67923482846753,0.181166959617
"84","GCG",-3.40107087005206,0
"85","PCDHGA9",-2.47184073887243,0
"86","ME1",4.7922904894195,0
"87","RTL9",-2.9128190585491,0
"88","CCDC9B",4.41024665547617,0
"89","CRTAC1",-3.08728301536764,0
"90","SKOR1",-2.78352205054877,0
"91","MYOF",3.1895487769409,0
"92","ART1",-3.06729307421034,0
"93","FGF11",-1.72962249145992,0
"94","NR5A2",-2.82612674221642,-0.148868151441
"95","SLC25A48",-3.07774230334068,0
"96","APOBEC3C",3.70499390620089,0
"97","KIF21A",3.84873721301142,-0.388233613281
"98","AKR1B1",2.1730880542794,-0.00352623713152
"99","NRIP1",4.67780619590296,-0.228452395528
"100","NT5DC1",3.35661338086506,0
"101","C9orf64",4.67245238645479,0
"102","MBD3L2",-3.82290828733742,0.103705931602
"103","CXCL14",-3.17380495832594,-0.196270341508
"104","HAND2",-3.34348384217719,0.117917939959
"105","XKR5",-2.68303588538301,0
"106","HOXA13",-2.28139742453145,0.108996022171
"107","IGLON5",-2.6782409617784,0.0381461585198
"108","USP53",4.40515855058219,0
"109","APCDD1",-2.8676549504201,0
"110","CD68",4.04546941966638,0
"111","ST6GALNAC3",-2.62061477671106,0
"112","RBM20",-2.50415363432331,0
"113","DYNLT3",3.30994073789714,0
"114","EPAS1",3.3924263554505,-0.0265093138839
"115","IL17RD",-1.87796713103473,0
"116","MLN",-2.91049919295165,0
"117","ARHGAP18",4.48902399885888,-0.00567724466008
"118","ANGPT2",-3.12769921611697,0
"119","RBP2",-3.83084168362231,0.0766239848128
"120","PROCR",4.07382816999834,-0.0778875859387
"121","CACHD1",-1.64973505529396,0
"122","UST",-1.71959989648281,0.173630062165
"123","RGCC",-2.20056143256977,0
"124","HOXC12",-3.48121429979566,-0.0963207313991
"125","KCNJ5",-2.90528597953044,-0.192062835003
"126","PNPLA4",4.36050184034971,0
"127","GSDMD",2.80424059522252,0
"128","TRIM49B",-3.02581124026972,0.125329554319
"129","ERG",-3.13842868135878,0.0344015491872
"130","ZNF738",4.14636868954678,0.00598629656662
"131","CARMIL1",4.14484693466547,0
"132","GPAT3",4.46122582841339,0
"133","COL14A1",-2.94361373497302,-0.339307668698
"134","KCNN4",4.29695779795017,0.13993070807311
"135","SERPINB8",4.54279011073366,-0.333768047341
"136","H3Y2",-2.88452300213241,0
"137","PDZD2",-2.14629077225348,0
"138","MYO6",3.18105912751152,0
"139","DRAXIN",-2.89593601191622,0
"140","PCNX2",4.30626087006792,0
